# GuessSync E38 «Guess the Insect» — image attributions (Wikimedia Commons)
# slug | name | author | license | url

blister-beetle | Blister Beetle | Muhammad Mahdi Karim | GFDL 1.2 | https://commons.wikimedia.org/wiki/File:Hycleus_lugens,_Meloidae.jpg
longhorn-beetle | Longhorn Beetle | Didier Descouens | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Batus_barbicornis_MHNT_femelle.jpg
darkling-beetle | Darkling Beetle | Didier Descouens | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Onymacris_unguicularis_MHNT.jpg
diving-beetle | Diving Beetle | This image is created by user Wim Rubers at Waarneming.nl, a source of nature observations in the Netherlands. | CC BY 3.0 | https://commons.wikimedia.org/wiki/File:Cybister_lateralimarginalis_(Dytiscidae)_-_(imago),_Berkenwoude,_the_Netherlands.jpg
whirligig-beetle | Whirligig Beetle | Udo Schmidt from Deutschland | CC BY-SA 2.0 | https://commons.wikimedia.org/wiki/File:Gyrinus_substriatus_Stephens,_1828_(3968701087)_(2).jpg
glowworm | Glowworm | Hectonichus | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Lampyridae_-_Lampyris_noctiluca.JPG
lanternfly | Spotted Lanternfly | Rhododendrites | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Spotted_lanternfly_in_BBG_(42972).jpg
giraffe-weevil | Giraffe Weevil | Frank Vassen | CC BY 2.0 | https://commons.wikimedia.org/wiki/File:Giraffe_Weevil,_Andasibe,_Madagascar.jpg
goliath-beetle | Goliath Beetle | Unknown | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Goliath_beetle.jpg
titan-beetle | Titan Beetle | Didier Descouens | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Titanus_giganteus_MHNT.jpg
atlas-beetle | Atlas Beetle | MathKnight and Dr. Zachi Evenor | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Atlas_Beetle_-_Zachi_Evenor.jpg
violin-beetle | Violin Beetle | Orbigny, Charles Dessalines d' | Public domain | https://commons.wikimedia.org/wiki/File:Mormolyce_phyllodes_crop.jpg
frog-legged-leaf-beetle | Frog-legged Leaf Beetle | Hectonichus | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Chrysomelidae_-_Sagra_buqueti.JPG
picasso-bug | Picasso Bug | Alandmanson | CC BY 4.0 | https://commons.wikimedia.org/wiki/File:Sphaerocoris_annulus_2018_12_16_11_37_17_9237.jpg
man-faced-stink-bug | Man-faced Stink Bug | Vinayaraj | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Catacanthus_incarnatus_04.jpg
orchid-mantis | Orchid Mantis | Luc Viatour | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Mantis_Hymenopus_coronatus_6_Luc_Viatour.jpg
devils-flower-mantis | Devil's Flower Mantis | Nathaliedemase | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Idolomantis_diabolica_dorsal.jpg
ghost-mantis | Ghost Mantis | Mydriatic | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Phyllocrania_Paradoxa_M_Kopfdetail.JPG
spiny-flower-mantis | Spiny Flower Mantis | Yasunori Koide | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Pseudocreobotra_wahlbergii_DSC_6864.jpg
thorn-bug | Thorn Bug | Marshal Hedin from San Diego | CC BY 2.0 | https://commons.wikimedia.org/wiki/File:Umbonia_crassicornis_(F._Membracidae)_(2532975946).jpg
brazilian-treehopper | Brazilian Treehopper | Sérgio Monteiro | Public domain | https://commons.wikimedia.org/wiki/File:Membracid_-_Bocydium_globulare.jpg
peanut-head-bug | Peanut-head Bug | Pavel Kirillov from St.Petersburg, Russia | CC BY-SA 2.0 | https://commons.wikimedia.org/wiki/File:Peanut_bug_Fulgora_cf_lanternaria_(14829763913).jpg
hercules-beetle | Hercules Beetle | Didier Descouens | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Dynastes_hercules_ecuatorianus_MHNT.jpg
jewel-scarab | Jewel Scarab | Notafly | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Adult_scarab_beetle_-_Chrysina_limbata.jpg
golden-tortoise-beetle | Golden Tortoise Beetle | Ilona Loser | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Golden_Tortoise_Beetle_-_Charidotella_sexpunctata.jpg
flamboyant-flower-beetle | Flamboyant Flower Beetle | Unknown | Public domain | https://commons.wikimedia.org/wiki/File:Striped.love.beetle.arp.jpg
wheel-bug | Wheel Bug | Ryan Kaldari | Public domain | https://commons.wikimedia.org/wiki/File:Arilus_cristatus_Kaldari_02.jpg
harlequin-beetle | Harlequin Beetle | Werner Rose | CC BY-SA 2.0 de | https://commons.wikimedia.org/wiki/File:Acrocinus_longimanus.jpg
luna-moth | Luna Moth | David notMD | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Actias_luna-male.jpg
atlas-moth | Atlas Moth | Quartl | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Attacus_atlas_qtl3.jpg
madagascan-sunset-moth | Madagascan Sunset Moth | see original img for author and (c) | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Madagascan_sunset_moth_(Chrysiridia_rhipheus),_Vohimana_reserve,_Madagascar_(cropped).jpg
hickory-horned-devil | Hickory Horned Devil | Marcusmacaulay | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Regal_Moth_larva,_Hickory_Horned_Devil,_Caterpillar.jpg
