GuessSync E45 - "Guess the Reptile" - Image Attributions
100 real reptile photos sourced from Wikimedia Commons / Wikipedia.
All images are Public Domain, CC0, CC BY, CC BY-SA, or FAL. Files under CC BY / CC BY-SA / FAL
require crediting the author + license; the lines below satisfy that requirement.
Generated 2026-07-11. Format:  slug | name | author | license | source
alligatorsnappingturtle | Alligator Snapping Turtle | Gary M. Stolz/U.S. Fish and Wildlife Service | Public domain | https://commons.wikimedia.org/wiki/File:Alligator_snapping_turtle.jpg
africanspurredtortoise | African Spurred Tortoise | John5199 | CC BY 2.0 | https://commons.wikimedia.org/wiki/File:Sulcata_Tortoise_(5)_(8679964197).jpg
radiatedtortoise | Radiated Tortoise | Charles J. Sharp | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Radiated_tortoise_(Astrochelys_radiata)_Tsimanampetsotsa.jpg
hermanntortoise | Hermann's Tortoise | Orchi | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Testudo_hermanni_hermanni_Mallorca_02.jpg
satanicgecko | Satanic Leaf-tailed Gecko | Thomas Fuhrmann | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Satanic_Leaf-tailed_Gecko_(Uroplatus_phantasticus)_-_Analamazoatra_Res._-_Madagascar.jpg
gargoylegecko | Gargoyle Gecko | Generish | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Gargoylegecko_2017_(cropped).png
flyinggecko | Flying Gecko | No machine-readable author provided. Hexasoft assumed (based on copyright claims). | CC BY-SA 2.5 | https://commons.wikimedia.org/wiki/File:Ptychozoon_kuhli.jpg
armadillolizard | Armadillo Lizard | Kevin Murray | CC BY 4.0 | https://commons.wikimedia.org/wiki/File:Ouroborus_cataphractus_29188261.jpg
rhinocerosiguana | Rhinoceros Iguana | Tim Ross | Public domain | https://commons.wikimedia.org/wiki/File:RhinoIguanaMay07Pedernales.jpg
fijiiguana | Fiji Crested Iguana | Michael Howard from Australia | CC BY 2.0 | https://commons.wikimedia.org/wiki/File:Fiji_Crested_Iguana.jpg
chuckwalla | Chuckwalla | Kaldari | Public domain | https://commons.wikimedia.org/wiki/File:Sauromalus_ater_Phoenix.jpg
caimanlizard | Caiman Lizard | Bloopityboop | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Northern_Caiman_Lizard_(Dracaena_guianensis).jpg
greentreemonitor | Green Tree Monitor | TimVickers | Public domain | https://commons.wikimedia.org/wiki/File:Varanus_prasinus.jpg
gaboonviper | Gaboon Viper | Marius Burger | CC0 | https://commons.wikimedia.org/wiki/File:Bitis_gabonica.jpg
blackmamba | Black Mamba | TimVickers | Public domain | https://commons.wikimedia.org/wiki/File:Dendroaspis_polylepis_(14).jpg
flyingdragon | Flying Dragon | H. Zell | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Draco_volans_01.JPG
brookesia | Pygmy Leaf Chameleon | Frank Glaw, Jörn Köhler, Ted M. Townsend, Miguel Vences | CC BY 2.5 | https://commons.wikimedia.org/wiki/File:Brookesia_micra_female.jpg
labordschameleon | Labord's Chameleon | Christopher Raxworthy | Public domain | https://commons.wikimedia.org/wiki/File:FurciferLabordi.jpg
shingleback | Shingleback Skink | Benjamint444 | GFDL 1.2 | https://commons.wikimedia.org/wiki/File:Shingleback-sa.jpg
pinkiguana | Pink Land Iguana | Rimini | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Iggy_pink.jpg
blueiguana | Blue Iguana | Charles J. Sharp | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Blue_iguana_(Cyclura_lewisi)_male.JPG
webfootedgecko | Web-footed Gecko | Thomas Quine | CC BY 2.0 | https://commons.wikimedia.org/wiki/File:Web-footed_Gecko_(25177638154).jpg
mossygecko | Mossy Leaf-tailed Gecko | Frank Vassen from Brussels, Belgium | CC BY 2.0 | https://commons.wikimedia.org/wiki/File:Mossy_leaf-tailed_gecko_(Uroplatus_sikorae),_Vohimana_reserve,_Madagascar.jpg
bigheadedturtle | Big-headed Turtle | Chetatata | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Big-headed_Turtle_HK.jpg
pignoseturtle | Pig-nosed Turtle | Bjoertvedt | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Carettochelys_insculpta_01.JPG
spinyturtle | Spiny Turtle | Bernard DUPONT from FRANCE | CC BY-SA 2.0 | https://commons.wikimedia.org/wiki/File:Asian_leaf_turtle_(Cyclemys_dentata)_(6707223935).jpg
ploughsharetortoise | Ploughshare Tortoise | Internet Archive Book Images | CC0 | https://commons.wikimedia.org/wiki/File:Ploughshare_Tortoise_(Astrochelys_yniphora)_(20359393031).jpg
pancaketortoise | Pancake Tortoise | Dave Pape | Public domain | https://commons.wikimedia.org/wiki/File:Malacochersus_tornieri_-_Buffalo_Zoo.jpg
egyptiantortoise | Egyptian Tortoise | Mtsackid at English Wikipedia | Public domain | https://commons.wikimedia.org/wiki/File:Egyptian_tortoise.JPG
landiguana | Land Iguana | Peter Wilton | CC BY 2.0 | https://commons.wikimedia.org/wiki/File:Gal%C3%A1pagos_land_iguana_(4201794181).jpg
earlessmonitor | Earless Monitor Lizard | Chien C. Lee, Wild Borneo Photography | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Real_Lanthanotus_borneensis.jpg
crocodilelizard | Chinese Crocodile Lizard | Greg Hume | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Shinisaurus_crocodilurus_10.jpg
mwanzaagama | Mwanza Flat-headed Agama | Christian Mehlführer, User:Chmehl | CC BY 2.5 | https://commons.wikimedia.org/wiki/File:MC_Siedleragame.jpg
ocellatedlizard | Ocellated Lizard | User:Haplochromis | CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Timon_lepidus_b.JPG
glasslizard | Glass Lizard | en:user:Fl295 | Public domain | https://commons.wikimedia.org/wiki/File:Eastern_Glass_Lizard.jpg
sheltopusik | Sheltopusik | (c) Kudaibergen Amirekul, some rights reserved (CC BY-SA) | CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Pseudopus_apodus,_%D0%91%D0%B0%D0%B9%D0%B4%D0%B8%D0%B1%D0%B5%D0%BA%D1%81%D0%BA%D0%B8%D0%B9_%D1%80%D0%B0%D0%B9%D0%BE%D0%BD,_%D0%9A%D0%B0%D0%B7%D0%B0%D1%85%D1%81%D1%82%D0%B0%D0%BD_imported_from_iNaturalist_photo_120013097.jpg
mexicanbeadedlizard | Mexican Beaded Lizard | David Rubin | CC BY 2.0 | https://commons.wikimedia.org/wiki/File:Heloderma_horridum_-Zurich_Zoo-8a.jpg
alligatorlizard | Alligator Lizard | Marshal Hedin | CC BY-SA 2.5 | https://commons.wikimedia.org/wiki/File:Elgaria_coerulea.jpg
sandfish | Sandfish Skink | Wilfried Berns | CC BY-SA 2.0 de | https://commons.wikimedia.org/wiki/File:Apothekerskink01.jpg
tuatara | Tuatara | Sid Mosdell from New Zealand | CC BY 2.0 | https://commons.wikimedia.org/wiki/File:Tuatara_(5205719005).jpg
knobtailedgecko | Knob-tailed Gecko | David Wells | CC BY 3.0 | https://commons.wikimedia.org/wiki/File:N._levis_caught_at_Calperum_09.jpg
