# «Guess the Flower» v2 (E-FLOWERS2) — image attributions (Wikimedia Commons, free licenses only)
# format: slug|title|author|license|url
ice-plant|File:Delosperma cooperi (Délosperma rose) - 97.jpg|Another one of my pictures: This photograph was taken by Medium69 (William Crochot) and released under the license stated below. You are free to use it for any purpose as long as you credit the author (William Crochot), the Source (Wikimedia Commons) and the license (CC-BY-SA 4.0) in close relation to the image. Please do not upload an updated image here without consultation with the Author. The author would like to make corrections only at his own source RAW. This ensures that the changes are preserved.Please if you think that any changes should be required, please inform the author.Otherwise you can upload a new image with a new name. Please use one of the templates derivative or extract.|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:Delosperma_cooperi_(D%C3%A9losperma_rose)_-_97.jpg
gaura|File:Gaura lindheimeri Whirling Butterflies.jpg|JJ Harrison (https://www.jjharrison.com.au/)|CC BY-SA 3.0|https://commons.wikimedia.org/wiki/File:Gaura_lindheimeri_Whirling_Butterflies.jpg
penstemon|File:Penstemon barbatus - Wendy McCrady 03.jpg|Wendy McCrady https://www.inaturalist.org/people/wendybirds|CC BY 4.0|https://commons.wikimedia.org/wiki/File:Penstemon_barbatus_-_Wendy_McCrady_03.jpg
prairie-mallow|File:Sidalcea malviflora ssp malviflora 1.jpg|Stan Shebs|CC BY-SA 3.0|https://commons.wikimedia.org/wiki/File:Sidalcea_malviflora_ssp_malviflora_1.jpg
meadowsweet|File:Filipendula ulmaria (flower spike).jpg|Hans Hillewaert|CC BY-SA 3.0|https://commons.wikimedia.org/wiki/File:Filipendula_ulmaria_(flower_spike).jpg
toadflax|File:Linaria vulgaris flowers - Keila.jpg|Ivar Leidus|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:Linaria_vulgaris_flowers_-_Keila.jpg
chocolate-cosmos|File:Cosmos atrosanguineus flower at Geilston Garden.jpg|John R.|CC BY-SA 2.0|https://commons.wikimedia.org/wiki/File:Cosmos_atrosanguineus_flower_at_Geilston_Garden.jpg
queen-of-the-night|File:Epiphyllum oxypetalum or wijaya kusuma flowers.jpg|Samudra Dirgantara|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:Epiphyllum_oxypetalum_or_wijaya_kusuma_flowers.jpg
hot-lips|File:Hot lips plant (Psychotria poeppigiana) (2533015568).jpg|Marshal Hedin from San Diego|CC BY-SA 2.0|https://commons.wikimedia.org/wiki/File:Hot_lips_plant_(Psychotria_poeppigiana)_(2533015568).jpg
lobster-claw|File:Lobster claw flower.jpg|Kwameghana(Bright Kwame Ayisi)|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:Lobster_claw_flower.jpg
shrimp-plant|File:Justicia brandegeeana bokeh.jpg|Rror|CC BY-SA 3.0|https://commons.wikimedia.org/wiki/File:Justicia_brandegeeana_bokeh.jpg
lipstick-plant|File:Aeschynanthus radicans, the Lipstick Flower. (13913394972).jpg|Dick Culbert from Gibsons, B.C., Canada|CC BY 2.0|https://commons.wikimedia.org/wiki/File:Aeschynanthus_radicans,_the_Lipstick_Flower._(13913394972).jpg
chinese-lantern|File:Lampionblume (Physalis alkekengi)-20260208-RM-121159.jpg|Reinhold Möller Ermell|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:Lampionblume_(Physalis_alkekengi)-20260208-RM-121159.jpg
flannel-flower|File:Actinotus helianthi flowerhead1 (8371091029).jpg|Harry Rose from South West Rocks, Australia|CC BY 2.0|https://commons.wikimedia.org/wiki/File:Actinotus_helianthi_flowerhead1_(8371091029).jpg
strawflower|File:Flor Siempreviva (Xerochrysum bracteatum) flower.jpg|Horacio Cambeiro|CC BY 4.0|https://commons.wikimedia.org/wiki/File:Flor_Siempreviva_(Xerochrysum_bracteatum)_flower.jpg
waratah|File:Telopea speciosissima suellen.JPG|Unknown|CC BY-SA 3.0|https://commons.wikimedia.org/wiki/File:Telopea_speciosissima_suellen.JPG
banksia|File:Banksia flower banksia serrata close up.jpg|Leon Brooks|Public domain|https://commons.wikimedia.org/wiki/File:Banksia_flower_banksia_serrata_close_up.jpg
grevillea|File:Starr 980528-4057 Grevillea juniperina.jpg|Forest & Kim Starr|CC BY 3.0|https://commons.wikimedia.org/wiki/File:Starr_980528-4057_Grevillea_juniperina.jpg
golden-wattle|File:Acacia pycnantha (19864964428).jpg|Patrick_K59|CC BY 2.0|https://commons.wikimedia.org/wiki/File:Acacia_pycnantha_(19864964428).jpg
gymea-lily|File:悉尼火百合 Doryanthes excelsa -澳洲 Cranbourne Royal Botanic Gardens, Australia- (10901574636).jpg|阿橋 HQ|CC BY-SA 2.0|https://commons.wikimedia.org/wiki/File:%E6%82%89%E5%B0%BC%E7%81%AB%E7%99%BE%E5%90%88_Doryanthes_excelsa_-%E6%BE%B3%E6%B4%B2_Cranbourne_Royal_Botanic_Gardens,_Australia-_(10901574636).jpg
dutchmans-pipe|File:2023.12-532-242ap1 sideview of flower of Aristolochia grandiflora (ARIS) in the Singapore Botanic Gardens on sun17dec2023-1230h.jpg|Rik Schuiling] / TropCrop-TCS|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:2023.12-532-242ap1_sideview_of_flower_of_Aristolochia_grandiflora_(ARIS)_in_the_Singapore_Botanic_Gardens_on_sun17dec2023-1230h.jpg
dove-orchid|File:Peristeria elata Orchi 11.jpg|Orchi|CC BY-SA 3.0|https://commons.wikimedia.org/wiki/File:Peristeria_elata_Orchi_11.jpg
spider-orchid|File:Caladenia flava Gnangarra-35.jpg|User:Gnangarra|CC BY 2.5 au|https://commons.wikimedia.org/wiki/File:Caladenia_flava_Gnangarra-35.jpg
slipper-orchid|File:Paphiopedilum insigne two flowers.jpg|Willow Coville|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:Paphiopedilum_insigne_two_flowers.jpg
dracula-orchid|File:15.Dracula simia, the Monkey Face Orchid (10957423336).jpg|Dick Culbert from Gibsons, B.C., Canada|CC BY 2.0|https://commons.wikimedia.org/wiki/File:15.Dracula_simia,_the_Monkey_Face_Orchid_(10957423336).jpg
wax-flower|File:Hoya FR 2013.jpg|JLPC|CC BY-SA 3.0|https://commons.wikimedia.org/wiki/File:Hoya_FR_2013.jpg
medinilla|File:Medinilla magnifica (70487).jpg|Rhododendrites|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:Medinilla_magnifica_(70487).jpg
glory-bush|File:Tibouchina urvilleana 4.jpg|Stan Shebs|CC BY-SA 3.0|https://commons.wikimedia.org/wiki/File:Tibouchina_urvilleana_4.jpg
cape-primrose|File:Streptocarpus rexii kz1.jpg|Krzysztof Ziarnek, Kenraiz|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:Streptocarpus_rexii_kz1.jpg
blood-lily|File:Scadoxus multiflorus subsp. multiflorus 1DS-II 1-1187.jpg|SAplants|CC BY-SA 4.0|https://commons.wikimedia.org/wiki/File:Scadoxus_multiflorus_subsp._multiflorus_1DS-II_1-1187.jpg
pineapple-lily|File:Eucomis comosa 005.JPG|H. Zell|CC BY-SA 3.0|https://commons.wikimedia.org/wiki/File:Eucomis_comosa_005.JPG
